Tennis Courts,0,06:57 PM,0,06:57 PM,0,06:57 PM,Open,0,06:57 PM,Open,0,11/28/2022
Arc Floor One,12:16 AM,34,06:07 AM,20,07:20 AM,50,08:06 AM,66,11/29/2022,08:06 AM,66,08:06 AM
Climbing,10:09 PM,0,10:09 PM,0,10:09 PM,0,10:09 PM,0,11/28/2022,10:09 PM,0,10:09 PM
Arc Olympic Lifting Zones,12:16 AM,8,06:07 AM,10,07:20 AM,26,08:06 AM,26,11/29/2022,08:06 AM,26,08:06 AM
Arc Floor Two,12:16 AM,16,06:07 AM,15,07:20 AM,36,08:06 AM,51,11/29/2022,08:06 AM,51,08:06 AM
South Court,12:16 AM,2,06:07 AM,0,07:20 AM,0,07:20 AM,0,11/29/2022,07:20 AM,0,07:20 AM
Four Court Gym,12:16 AM,8,06:07 AM,1,07:20 AM,5,08:06 AM,1,11/29/2022,08:06 AM,1,08:06 AM
North Court,12:16 AM,1,06:07 AM,0,07:20 AM,0,07:20 AM,0,11/29/2022,07:20 AM,0,07:20 AM
Recreation Pool,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,0,11/28/2022,06:57 PM,0,06:57 PM
Competition Pool,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,0,11/28/2022,06:57 PM,0,06:57 PM
Arc Express,09:57 PM,0,09:57 PM,0,09:57 PM,0,09:57 PM,0,11/29/2022,08:35 AM,9,09:02 AM
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,08:03 PM,2,08:03 PM,2,08:03 PM,2,08:03 PM,2,11/28/2022,08:03 PM,2,08:03 PM
Tennis Courts,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,0,11/28/2022,06:57 PM,0,06:57 PM
Arc Floor One,66,08:06 AM,09:49 AM,91,09:49 AM,91,11/29/2022,09:49 AM,Open,91,09:49 AM,91
Climbing,0,10:09 PM,10:09 PM,0,10:09 PM,0,11/28/2022,10:09 PM,Closed,0,10:09 PM,0
Arc Olympic Lifting Zones,26,08:06 AM,09:49 AM,43,09:49 AM,43,11/29/2022,09:49 AM,Open,43,09:49 AM,43
Arc Floor Two,51,08:06 AM,09:49 AM,54,09:49 AM,54,11/29/2022,09:49 AM,Open,54,09:49 AM,54
South Court,0,07:20 AM,09:49 AM,2,09:49 AM,2,11/29/2022,09:49 AM,Open,2,09:49 AM,2
Four Court Gym,1,08:06 AM,09:49 AM,17,09:49 AM,17,11/29/2022,09:49 AM,Open,17,09:49 AM,17
North Court,0,07:20 AM,09:49 AM,1,09:49 AM,1,11/29/2022,09:49 AM,Open,1,09:49 AM,1
Recreation Pool,0,06:57 PM,06:57 PM,0,06:57 PM,0,11/29/2022,10:18 AM,Open,1,10:18 AM,1
Competition Pool,0,06:57 PM,06:57 PM,0,06:57 PM,0,11/29/2022,10:18 AM,Closed,0,10:18 AM,0
Arc Express,16,09:32 AM,09:32 AM,16,09:59 AM,22,11/29/2022,09:59 AM,Open,22,10:31 AM,17
Spa,0,01:03 PM,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,Closed,0,01:03 PM,0
Aquaplex Pool Deck,2,08:03 PM,08:03 PM,2,08:03 PM,2,11/29/2022,10:18 AM,Open,0,10:18 AM,0
Tennis Courts,0,06:57 PM,06:57 PM,0,06:57 PM,0,11/29/2022,10:18 AM,Closed,0,10:18 AM,0
Arc Floor One,09:49 AM,91,09:49 AM,91,09:49 AM,91,09:49 AM,91,01:16 PM,81,01:16 PM,81
Climbing,10:09 PM,0,10:09 PM,0,10:09 PM,0,10:09 PM,0,10:09 PM,0,10:09 PM,0
Arc Olympic Lifting Zones,09:49 AM,43,09:49 AM,43,09:49 AM,43,09:49 AM,43,01:16 PM,38,01:16 PM,38
Arc Floor Two,09:49 AM,54,09:49 AM,54,09:49 AM,54,09:49 AM,54,01:16 PM,63,01:16 PM,63
South Court,09:49 AM,2,09:49 AM,2,09:49 AM,2,09:49 AM,2,01:16 PM,0,01:16 PM,0
Four Court Gym,09:49 AM,17,09:49 AM,17,09:49 AM,17,09:49 AM,17,01:16 PM,6,01:16 PM,6
North Court,09:49 AM,1,09:49 AM,1,09:49 AM,1,09:49 AM,1,01:16 PM,1,01:16 PM,1
Recreation Pool,11:04 AM,2,11:04 AM,2,12:02 PM,1,12:02 PM,1,12:02 PM,1,12:02 PM,1
Competition Pool,11:03 AM,0,11:03 AM,0,12:02 PM,0,12:02 PM,0,12:02 PM,0,12:02 PM,0
Arc Express,11:01 AM,17,11:29 AM,15,12:03 PM,18,12:46 PM,26,12:46 PM,26,01:30 PM,10
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,10:18 AM,0,10:18 AM,0,12:02 PM,2,12:02 PM,2,12:02 PM,2,12:02 PM,2
Tennis Courts,10:18 AM,0,10:18 AM,0,10:18 AM,0,10:18 AM,0,10:18 AM,0,10:18 AM,0
Arc Floor One,01:51 PM,101,01:51 PM,101,11/29/2022,03:15 PM,97,03:15 PM,97,03:15 PM,97,04:11 PM
Climbing,10:09 PM,0,10:09 PM,0,11/29/2022,03:15 PM,6,03:15 PM,6,03:15 PM,6,04:11 PM
Arc Olympic Lifting Zones,01:51 PM,46,01:51 PM,46,11/29/2022,03:15 PM,43,03:15 PM,43,03:15 PM,43,04:11 PM
Arc Floor Two,01:16 PM,63,01:16 PM,63,11/29/2022,03:15 PM,89,03:15 PM,89,03:15 PM,89,04:11 PM
South Court,01:51 PM,2,01:51 PM,2,11/29/2022,03:15 PM,5,03:15 PM,5,03:15 PM,5,04:11 PM
Four Court Gym,01:51 PM,14,01:51 PM,14,11/29/2022,03:15 PM,22,03:15 PM,22,03:15 PM,22,04:11 PM
North Court,01:51 PM,0,01:51 PM,0,11/29/2022,03:15 PM,0,03:15 PM,0,03:15 PM,0,03:15 PM
Recreation Pool,12:02 PM,1,12:02 PM,1,11/29/2022,12:02 PM,1,03:40 PM,2,03:40 PM,2,03:40 PM
Competition Pool,12:02 PM,0,12:02 PM,0,11/29/2022,12:02 PM,0,03:40 PM,9,03:40 PM,9,03:40 PM
Arc Express,01:30 PM,10,03:04 PM,25,11/29/2022,03:04 PM,25,03:04 PM,25,04:01 PM,21,04:01 PM
Spa,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,12:02 PM,2,12:02 PM,2,11/29/2022,12:02 PM,2,03:40 PM,3,03:40 PM,3,03:40 PM
